Location,latitude,longitude
Austin,30.1328,-97.6411
Baku,40.3725,49.8533
Barcelona,41.57,2.2611
Budapest,47.5789,19.2486
Jeddah,21.6319,39.1044
Las Vegas,36.1699,-115.1398
Lusail,25.4167,51.5333
Madrid,40.4168,-3.7038
Marina Bay,1.2914,103.8642
Melbourne,-37.8497,144.968
Mexico City,19.4042,-99.0908
Miami,25.7617,-80.1918
Monaco,43.7347,7.4206
Monza,45.6156,9.2811
Sakhir,26.0325,50.5106
Sao Paulo,-23.7036,-46.6997
Shanghai,31.3389,121.22
Silverstone,52.0733,-1.0144
Spa-Francorchamps,50.4372,5.9714
Spielberg,47.2197,14.7644
Suzuka,34.8431,136.541
Yas Island,24.4672,54.6033
Zandvoort,52.3889,4.5406
