TeamId,start_year,end_year,PU_Group,note
alpine,2021,2025,renault,"PU supplier history for Alpine (formerly known as Renault). Note: Alpine has been using Renault engines since its rebranding in 2021, and has shown promise as a competitive team in the midfield in recent years."
mercedes,2014,2030,mercedes,"PU supplier history for Mercedes. Note: Mercedes has been the most successful PU supplier in recent years, with multiple championships and a strong reliability record."
ferrari,2014,2030,ferrari,"PU supplier history for Ferrari. Note: Ferrari has been a consistent competitor in Formula 1 with the most championships in the sport's history but its modern performance leaves much to be desired."
alfa,2014,2023,ferrari,"PU supplier history for Alfa Romeo (now known as Sauber). Note: Alfa Romeo has had a long-standing relationship with Ferrari, often using their engines as customer teams, but has not achieved significant success in terms of championships in the modern era."
sauber,2024,2025,ferrari,"PU supplier history for Sauber. Note: Sauber has had a long-standing relationship with Ferrari, often using their engines as customer teams, but has not achieved significant success in terms of championships."
alphatauri,2020,2023,honda,"PU supplier history for AlphaTauri (formerly known as Toro Rosso). Note: AlphaTauri used Honda engines from 2020 to 2021, before switching to Honda RBPT, achieving moderate success as a mid-field team in the last few years."
red_bull,2019,2025,honda,"PU supplier history for Red Bull. Note: Red Bull used Honda engines from 2019 to 2021, before switching to Honda RBPT, achieving significant success in the last 6 years."
haas,2016,2030,ferrari,"PU supplier history for Haas. Note: Haas has been using Ferrari engines since its debut in 2016, but remains a mid-field team with limited success in terms of podium finishes."
mclaren,2021,2030,mercedes,"PU supplier history for McLaren. Note: McLaren has used many different PU suppliers over the years, but in its recent history, it has achieved tremendous success with the Mercedes PU."
rb,2024,2025,honda,"PU supplier history for RB (Racing Bulls, formerly known as both Toro Rosso and AlphaTauri). Note: RB used Honda engines from 2020 to 2021, before switching to Honda RBPT, achieving great success as a mid-field team in the last 6 years."
williams,2014,2030,mercedes,"PU supplier history for Williams. Note: Williams has a storied history in Formula 1 with multiple championships, but in recent years has struggled to compete at the front of the grid, even with Mercedes engines."
aston_martin,2021,2025,mercedes,"PU supplier history for Aston Martin. Note: Aston Martin has been using Mercedes engines since 2021, and has shown promise as a competitive team in the midfield in recent years but has fallen in the last 2 years."
audi,2026,2030,audi,"PU supplier history for Audi. Note: Audi is set to enter Formula 1 as a PU supplier in 2026 by acquiring and rebranding the Sauber F1 team, marking a significant development in the sport. The performance and reliability of their engines will be closely watched in the coming years."
red_bull,2026,2030,ford,"PU supplier history for Red Bull (Racing Bulls, formerly known as both Toro Rosso and AlphaTauri). Note: Red Bull is set to switch to Ford engines in 2026, marking a significant change in their PU supplier history. The performance of the new Ford engines will be crucial for Red Bull's competitiveness in the coming seasons."
rb,2026,2030,ford,"PU supplier history for RB (Racing Bulls, formerly known as both Toro Rosso and AlphaTauri). Note: RB is set to switch to Ford engines in 2026, marking a significant change in their PU supplier history. The performance of the new Ford engines will be crucial for RB's competitiveness in the coming seasons."
aston_martin,2026,2030,honda,"PU supplier history for Aston Martin. Note: Aston Martin is set to switch to Honda engines in 2026, marking a significant change in their PU supplier history. The performance of the new Honda engines will be crucial for Aston Martin's competitiveness in the coming seasons."
alpine,2026,2030,mercedes,"PU supplier history for Alpine (formerly known as Renault). Note: Alpine is set to switch to Mercedes engines in 2026, marking a significant change in their PU supplier history. The performance of the new Mercedes engines will be crucial for Alpine's competitiveness in the coming seasons."
cadillac,2026,2029,ferrari,"PU supplier history for Cadillac. Note: Cadillac is set to enter Formula 1 as a new team in 2026, partnering with Ferrari to provide engines for the new Cadillac F1 team. This marks a significant development in the sport, and the performance of the Ferrari engines will be closely watched in the coming years."
